Respondent_ID,SAMPLE,AB,Q6Rand,SYSTEM:IP Address,T1.,S1.,S2.,S3.,S3.REGION,GENDER/REGION,S4.,S5.,S6.,S7.,S8.,S5-S6.,S9_1,S9_2,S9_3,S9_4,S9_5,S9_6,S9_7,S9_10,S10.,S11.,S12_1,S12_2,S12_3,S12_4,S12_5,S12_6,S12_7,S12_8,S12_9,S12_10,S12_11,S12_12,S12_13,S13_1,S13_2,S13_3,S13_4,S13_5,S13_6,S13_7,S13_8,S13_9,S13_10,S13_11,S13_12,S13_13,S13_14,S13_15,S14.,S15.:0-4,S15.:5-7,S15.:8-10,S15.:11-13,S15.:14-18,S15.:None,S16.:0-4,S16.:5-7,S16.:8-10,S16.:11-13,S16.:14-18,S16.:None,Q1.,Q2_1,Q2_2,Q2_3,Q2_4,FAN,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q7.,Q8.,Q9.,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12
6,2,2,1,73.158.241.125,1,1,1,5,4,7,19,4,2,4,6,4,,,,,,,,8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,3,1,,,,,,,,,,10,,,,14,,,,,,,,,,8,,,,12,,14,,,1,1,9,2,2,2,2,1,2,2,2,2,1,1,1
8,3,1,3,172.58.33.69,1,2,1,5,4,8,35,1,2,3,5,1,,,,,,6,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,5,,,2,3,4,,,2,4,2,2,3,3,4,2,5,6,4,2,4,2,5,5,5,2,1,3,3,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,14,,,2,2,0,6,3,6,5,2,6,6,3,6,3,4,2
11,1,2,2,73.146.112.173,1,2,1,15,2,4,36,2,1,5,1,3,,,,,,,,8,5,5,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,,4,,,7,8,9,10,11,12,13,14,,1,,,,4,5,,1,2,,,,,1,2,2,1,2,2,2,3,4,3,2,1,2,1,2,3,2,1,1,1,1,,,,4,,,,,,,,,13,,,,,,,,,,,,,,,,13,,,,1,2,7,5,3,5,5,4,3,3,2,5,3,3,3
13,2,2,1,208.54.5.185,1,2,1,5,4,8,50,4,2,5,1,4,,,,,,,,8,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,2,1,2,1,2,3,6,6,2,3,6,2,6,6,6,1,1,1,1,,,,4,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,1,8,3,3,3,6,4,6,6,3,4,6,3,6
14,2,1,3,70.215.211.175,1,1,1,37,3,5,39,1,2,3,5,1,,,,,,,,8,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,4,,,2,1,2,1,2,1,1,2,2,1,1,2,4,4,3,3,2,1,1,3,3,1,,3,,,6,,8,9,10,11,12,,14,,,1,,,,,6,7,8,9,,11,12,,14,,,1,1,9,1,1,1,1,1,1,2,1,1,1,1,1
16,2,1,3,73.150.142.222,1,2,1,31,1,2,66,1,2,5,2,1,,,,,,,,8,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,2,2,1,2,1,1,3,3,3,2,2,3,4,3,5,1,1,3,3,,,,4,,,,,,10,,,13,,,,,,,4,,,,,,,,,,14,,,2,3,6,5,4,5,3,2,6,2,5,3,3,3,5
18,3,2,2,98.149.236.238,1,2,1,5,4,8,31,1,2,3,5,1,,,,,,,,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,1,,,,,,1,3,3,2,4,2,2,2,6,2,6,2,6,6,6,6,6,1,1,3,1,,,,4,,6,,,,10,11,12,,14,,,,,,,,6,,8,,10,11,12,,14,,,1,3,5,6,1,6,3,1,2,1,1,1,1,1,1
19,3,1,2,216.176.11.143,1,2,1,23,2,4,32,1,2,3,3,1,,,,,,,7,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,2,3,,,,2,3,3,3,3,2,3,3,3,3,1,3,1,1,3,3,3,1,1,1,1,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
20,1,2,2,70.62.169.14,1,1,1,36,2,3,33,1,2,6,1,1,,,,,,,,8,5,2,,,,,,,7,,9,10,11,12,,,,3,,,,,,,,11,,,,,2,,,,,,,,,,,,,2,2,4,2,2,2,1,3,4,2,3,3,3,3,3,6,6,1,3,3,3,,,,4,,,,,,,,,,14,15,,,,,4,,,,,,,,,,,,,1,3,6,4,4,4,3,2,4,2,3,2,1,2,3
21,1,1,3,144.230.82.253,1,1,1,17,2,3,52,1,2,5,1,1,,,,,,,,8,4,4,1,2,,,,,7,,,10,,12,,1,,3,,,,,,,,11,12,,,,1,,,3,,5,,,,3,,5,,2,1,1,2,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,2,,2,3,4,,6,,,,,,12,13,,,,,,,4,,6,,,,,,12,,,15,,3,3,9,5,4,3,4,1,3,2,3,2,3,4,4
22,1,2,2,172.58.111.193,1,1,1,44,3,5,46,1,2,5,1,1,,,,,,,,8,4,7,,,3,,5,,,,9,,,,,1,,3,,,,,8,,,,,,,,1,1,,,,,,1,,,,,,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,,,,4,,,,,,,,12,,,15,,,2,,4,,6,,8,,,,,,,,,3,3,8,4,4,5,3,2,3,4,3,4,3,6,4
25,1,2,1,174.233.137.172,1,1,1,36,2,3,55,1,2,5,1,1,,,,,,,,8,5,3,,,,,,6,7,,,,11,12,,,2,3,,,,,8,,10,11,12,,,,2,,,,,,,,,,,,,1,1,2,2,1,1,1,2,2,1,2,2,6,2,2,2,6,1,1,1,2,,,,4,,,,,,10,,12,,14,15,,,,,,,,,,,,,,13,,,,1,1,9,3,3,3,3,1,2,1,2,2,1,2,4
28,3,2,3,73.121.198.53,1,2,1,43,3,6,32,1,2,4,5,1,,,,,,,,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,,,,,3,,,,2,2,1,1,3,2,3,1,4,2,4,1,1,2,5,5,5,1,1,3,1,,,,,,6,7,,,,,,,14,,,,,,,,,,8,9,10,11,12,,14,,,1,3,4,6,1,2,3,1,2,2,2,1,6,6,6
30,1,2,1,73.246.107.169,1,2,1,15,2,4,36,1,2,6,1,1,,,,,,,,8,5,6,,2,3,,,,,,,,,,,,2,,,,,,,,,,12,,,,2,,,,,,,,,,,,,2,1,3,2,2,1,1,2,2,2,2,2,6,3,6,6,6,1,1,3,2,,,,4,,,7,,,10,,12,,14,,,,,,4,,,,,,10,,12,,14,,,3,3,9,3,3,3,2,1,3,6,3,2,1,1,1
37,2,2,3,68.225.147.237,1,1,1,3,4,7,45,1,2,3,3,1,,,,,,6,7,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,3,1,1,1,2,3,1,4,2,3,1,1,3,4,5,3,2,2,1,1,,2,,4,,,,,,10,,,13,,,,1,,,4,5,6,7,,,10,11,12,,,,,2,2,0,5,5,5,5,3,3,2,4,2,1,2,5
38,2,2,3,75.137.17.76,1,1,1,11,3,5,29,1,2,5,1,1,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,6,1,1,2,1,3,1,1,2,2,2,2,2,3,1,4,2,5,1,2,3,1,,,,4,,6,,,,,,12,,,15,,,,,4,,6,,,,10,,12,13,,15,,1,1,8,3,2,4,3,2,4,4,2,3,1,2,3
40,1,2,3,73.181.20.64,1,1,1,6,4,7,68,1,2,5,7,1,,,,,,,,8,5,4,,2,,,,6,,,,10,,,,1,2,3,,,,,8,,10,11,12,,14,,2,,,,,,,,,,,,,2,1,2,2,1,1,1,2,2,2,1,1,6,2,2,6,2,1,1,3,3,1,,,4,,6,7,8,,10,11,12,,14,15,,,,,4,,6,,,,10,,,,,,,1,3,9,1,3,3,2,1,3,2,6,1,1,1,4
43,1,2,2,216.12.76.148,1,1,1,47,3,5,61,1,2,6,1,1,,,,,,,,8,4,4,,,3,,,6,7,8,,,11,,,,2,3,4,,6,7,,,,11,12,13,14,,2,,,,,,,,,,,,,3,3,1,3,1,2,3,2,3,3,3,2,3,3,6,6,6,2,1,3,2,,,,4,,,,,,,,,,,,,,2,,4,,6,,8,,10,,12,,14,,,2,2,3,4,5,5,4,2,3,3,3,3,2,3,5
44,1,2,3,172.124.187.63,1,2,1,44,3,6,40,3,,5,1,3,,,,,,,,8,4,2,,2,,,,6,7,8,,,,,,1,,3,,,,,,,,,12,13,14,,2,,,,,,,,,,,,,1,1,1,1,2,1,1,2,1,2,2,2,6,3,3,2,2,1,1,3,2,1,2,,4,,6,7,8,9,10,11,12,,14,,,,,,4,5,6,7,8,9,10,11,12,,14,,,2,1,10,4,3,4,3,1,2,4,1,2,2,1,3
45,3,1,2,172.221.43.196,1,2,1,29,4,8,27,4,2,5,1,4,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,5,,,,,,,6,1,2,4,1,3,2,1,2,6,6,2,3,2,1,6,6,6,1,2,3,1,,,,,,,,8,,10,,12,,14,,,1,,,4,,,,8,,,,,,,,,3,3,7,3,1,6,3,2,3,3,1,4,1,1,6
46,2,1,2,73.246.202.12,1,2,1,23,2,4,75,1,2,4,7,1,,,,,,,,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,5,5,1,1,1,1,,,,,,,,,,10,,,,,,,,2,,,,6,,,,,,,,,,,1,3,5,5,3,6,5,3,4,5,4,4,2,4,4
48,2,1,2,76.122.188.31,1,2,1,23,2,4,69,1,2,4,7,1,,,,,,,,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,3,2,1,2,2,2,6,2,2,2,6,6,6,6,6,1,3,3,3,,,,,,6,,,,10,,,,14,,,,,,,,6,,,,10,,,,14,,,3,3,9,5,4,5,4,2,2,4,3,2,2,2,2
50,1,2,2,24.47.130.235,1,1,1,33,1,1,54,1,2,6,1,1,,,,,,,,8,5,7,1,2,3,,5,,7,,,10,11,,,,,3,4,5,6,,,9,10,,12,,14,,1,,,,,,6,,,,4,5,,2,1,1,1,1,1,2,1,3,1,1,1,1,1,4,1,1,1,1,1,1,,,,,,,,8,9,,11,,,,15,,,2,3,,,6,7,8,,,,12,,14,15,,1,1,8,5,3,5,2,1,2,1,3,3,1,1,3
53,1,2,1,174.65.55.176,1,2,1,5,4,8,56,1,1,5,1,3,,,,,,,,8,4,5,1,2,3,4,5,6,7,8,9,10,11,12,,1,,3,4,5,,,8,,10,11,12,13,14,,1,,,,,,6,,,,,5,,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,,4,,6,,8,,10,,12,,14,,,1,2,,4,,6,,8,,10,,12,,14,,,3,2,6,3,3,3,3,2,3,2,3,3,2,2,3
54,3,1,1,75.23.161.224,1,2,1,5,4,8,45,2,2,4,1,2,,,,,,,,8,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,6,3,2,4,1,4,2,2,2,2,1,2,2,6,1,6,5,2,1,1,1,1,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,,15,,1,1,5,4,3,5,3,1,4,3,3,4,3,3,4
55,1,2,2,98.163.104.68,1,1,1,47,3,5,79,1,2,5,7,1,,,,,,,,8,7,4,1,,3,4,5,6,,,,10,11,,,1,2,,,,6,7,,9,,11,12,,,,2,,,,,,,,,,,,,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,,3,4,5,6,7,8,9,10,11,12,,14,,,,2,3,4,,6,7,8,,10,11,12,,14,,,1,1,10,1,1,1,2,2,2,4,2,1,1,1,2
56,3,2,3,24.225.21.129,1,2,1,17,2,4,52,1,2,4,3,1,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,2,,,,,1,1,3,2,1,1,1,1,2,2,1,2,6,2,2,6,6,1,1,3,1,1,2,3,4,,6,7,8,9,10,11,12,,14,,,1,2,3,4,,6,7,8,9,10,11,12,,14,,,3,3,10,3,1,2,3,1,2,2,1,1,1,2,2
57,1,1,2,73.135.210.4,1,2,1,21,3,6,64,1,2,5,3,1,,,,,,,,8,5,1,1,2,,4,,,,,,10,11,,,1,,,,,,,,,,11,,,14,,2,,,,,,,,,,,,,1,4,4,4,1,3,3,2,6,3,3,2,6,3,6,6,6,2,3,3,3,,,,4,,,,,,,,,,,,,,,,4,,6,,,,10,,12,,,,,2,2,0,4,4,4,5,6,6,2,6,3,4,4,6
58,1,1,2,47.197.80.28,1,1,1,10,3,5,66,1,2,5,2,1,,,,,,,,8,4,5,1,2,,,,,7,,,,,,,,,3,,,,,,,,,,,14,,2,,,,,,,,,,,,,2,1,3,3,1,1,2,2,2,2,1,3,3,3,3,6,6,1,3,1,3,1,,,4,,6,,,,10,,,,14,,,,,,4,,6,,,,,11,,13,,,,1,3,9,3,4,4,3,2,2,4,6,2,2,3,3
60,3,1,2,99.203.0.198,1,2,2,36,2,4,29,1,1,5,1,3,,,,,,,7,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,5,,1,,,4,5,,1,2,4,1,2,2,2,1,1,1,4,2,2,3,1,1,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,2,1,2,1,2,1,3,5,1,2,1,3,3,5,2
62,3,1,2,73.13.140.28,1,2,1,39,1,2,40,1,2,5,5,1,,,,,,,,8,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,6,2,3,1,1,1,2,2,1,6,2,3,1,1,3,5,5,5,2,1,1,3,,2,,4,,6,,,,10,,,,14,,,,2,3,4,5,6,7,8,,10,11,12,,14,,,1,3,3,4,4,5,3,1,4,1,4,1,6,6,6
67,1,1,3,108.237.109.36,1,1,1,26,2,3,60,1,2,5,7,1,,,,,,,,8,5,3,1,2,3,,,,7,,,10,,,,,2,3,,,,,,,,11,,13,,,2,,,,,,,,,,,,,2,3,1,4,1,2,1,1,2,3,1,2,1,2,4,6,6,2,1,1,1,,2,,,,6,,,,10,,,,14,15,,,,,4,,6,,,,,,,,,,,2,2,4,3,3,3,4,2,3,2,3,2,2,2,4
68,3,1,2,172.58.169.72,1,2,1,10,3,6,44,2,2,5,1,2,,,,,,,7,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,1,,,,,,2,4,4,1,3,3,4,4,6,6,4,4,4,6,5,6,5,3,3,3,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,3,0,3,4,3,3,1,6,6,4,6,3,6,5
70,1,1,2,76.114.21.23,1,1,1,5,4,7,82,6,2,5,7,6,,,,,,,,8,4,2,1,2,,,,,,,,,11,12,,1,,,,,,,,,,,,13,14,,2,,,,,,,,,,,,,1,3,3,1,1,2,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,3,3,0,6,6,6,6,6,6,6,6,6,6,6,6
71,3,2,1,172.58.225.218,1,2,1,33,1,2,28,6,2,4,2,6,,,,,,,,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,,,,2,,,,,2,3,4,1,4,2,2,3,6,6,2,3,4,3,6,5,5,1,1,3,1,,,,,,6,,,,10,,,,,,,,,,,,,,,,,,,,,,16,1,3,5,6,2,2,2,2,6,6,2,6,6,6,6
73,3,2,3,98.22.113.53,1,2,1,39,1,2,30,1,2,4,5,1,,,,,,,,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,1,,3,,,,3,1,4,1,2,1,1,1,1,2,1,1,1,1,1,5,5,1,1,1,1,1,2,3,,,6,7,8,9,10,11,12,,14,15,,,,3,,,,7,,9,10,11,12,,,,,3,1,10,3,1,1,2,1,1,1,3,1,1,1,4
77,3,1,1,97.91.161.214,1,2,1,26,2,4,39,1,2,4,5,1,,,,,,,,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,6,3,4,4,1,3,3,3,3,4,4,4,4,3,4,5,6,6,3,3,3,3,,,,4,,6,,,,,,12,,,,,,,,4,,6,,,,10,,,,,,,3,3,0,5,4,3,5,2,4,6,4,3,6,3,2
78,2,1,3,75.163.198.202,1,2,1,6,4,8,68,1,2,4,5,1,,,,,,,,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,3,3,3,2,3,3,3,3,3,3,6,6,3,6,6,3,3,3,3,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,3,2,3,4,4,4,4,3,3,2,3,2,4,4,4
79,2,2,2,172.58.145.161,1,1,1,19,3,5,33,1,2,4,1,1,,,,,,,,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,3,4,,,1,1,1,1,1,1,1,1,3,2,2,2,2,4,2,2,2,1,1,1,1,,,,,,,,,,,,,13,,,,,,3,,5,,7,,,,,,,,,,1,1,8,5,2,3,4,1,1,1,2,4,1,5,3
81,3,1,1,75.130.104.194,1,2,1,22,1,2,49,1,2,6,2,1,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,5,,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,1,10,5,2,5,2,2,5,3,3,3,1,1,5
84,1,2,2,76.187.61.114,1,2,1,44,3,6,72,1,2,5,7,1,,,,,,,,8,4,4,1,2,3,4,5,6,7,8,,,11,,,1,,3,,,,,,,,,12,,,,2,,,,,,,,,,,,,2,4,2,1,1,3,4,2,3,3,4,2,4,2,6,6,6,2,1,3,1,,,,4,,,,,,,,,,,,,,,,4,,6,,,,,,,,14,,,2,2,0,4,4,4,5,4,5,4,4,5,4,4,4
85,1,2,2,69.207.168.127,1,1,1,33,1,1,79,1,2,5,7,1,,,,,,,,8,6,1,,2,3,4,,,,,,10,,,,1,2,,4,,,,,,,11,12,,14,,2,,,,,,,,,,,,,2,1,3,4,1,1,1,2,3,2,3,3,6,3,4,3,3,2,1,3,2,,,,4,,,,,,,,,,,15,,,,,4,,,,8,,,,12,,,,,3,2,6,4,4,4,4,3,3,4,2,3,3,2,4
89,1,2,3,216.24.109.110,1,1,1,47,3,5,75,1,2,6,7,1,,,,,,,,8,6,3,,2,3,4,5,,,,,,,,,,,,,,,,,,10,,,,14,,2,,,,,,,,,,,,,2,3,4,3,1,2,2,4,3,3,2,4,3,3,2,3,3,2,2,2,2,,,,4,,,,,,,,,13,,,,,,,4,,,,,,10,11,,13,,,,2,2,2,4,3,2,5,3,4,2,4,3,2,2,3
90,2,2,1,76.189.209.149,1,1,2,36,2,3,62,1,2,4,7,1,,,,,,,,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,,,,6,,8,,,11,,,,,,,,,,,,,,9,10,,12,,,,,1,1,9,1,2,2,2,1,2,2,2,1,2,1,2
92,2,2,2,192.65.255.62,1,1,1,48,4,7,68,1,2,5,1,1,,,,,,,,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,1,2,1,1,2,2,2,2,2,2,6,3,4,6,6,3,1,3,3,,,,4,,6,,,,10,,,,14,,,,,,4,,6,,,,10,11,,,14,,,2,2,6,3,3,3,4,2,6,2,2,2,2,2,4
93,2,1,1,67.84.59.113,1,1,1,33,1,1,47,4,2,5,1,4,,,,,,,,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,4,5,,2,2,2,1,4,2,2,2,4,2,2,2,3,3,3,3,3,3,3,3,3,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,1,6,4,3,4,4,2,3,3,3,3,3,3,4
94,2,1,2,71.233.3.13,1,2,1,22,1,2,63,1,2,5,5,1,,,,,,,,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,3,2,2,2,2,2,2,2,2,2,2,6,6,3,6,6,1,1,1,2,,,,4,,,,,,10,,,,,,,,,,,,6,,,,10,,,,14,,,1,3,5,6,4,3,3,2,6,6,4,3,2,3,3
98,3,2,1,138.229.185.28,1,2,1,5,4,8,46,3,,4,4,3,,,,,,,,8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,4,,,,,3,,,,2,1,4,1,1,1,1,4,2,1,1,4,4,1,4,4,1,1,1,3,1,,,,,,6,,8,,10,11,12,,14,15,,,,,,,,,,,,,,,,,16,3,3,10,4,3,4,3,1,3,3,1,1,4,2,3
99,3,2,2,107.77.204.49,1,2,2,39,1,2,47,1,2,3,4,1,,,,,,,,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,6,1,4,5,3,2,3,5,5,5,3,3,6,6,6,6,5,5,2,2,3,2,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,13,,,,2,2,3,4,4,4,4,5,5,3,2,6,4,4,5
104,3,2,2,174.227.1.184,1,2,1,10,3,6,27,1,2,4,1,1,,,,,,,,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,6,2,5,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,1,3,3,2,,,,,,,7,,,,11,12,,,,,,,,,,,7,,,10,,,13,,,,1,2,0,6,3,6,6,6,3,4,1,1,2,6,4
105,3,1,3,69.204.0.202,1,2,1,33,1,2,31,1,2,3,5,1,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,1,2,,,,,1,2,2,1,1,2,3,1,2,2,2,2,2,3,3,3,3,1,1,1,1,,,3,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,16,3,3,9,1,3,2,4,2,1,2,5,3,2,2,2
106,3,2,3,162.201.32.56,1,2,2,15,2,4,35,1,2,5,2,1,,,,,,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,,,,2,,,,,2,4,4,2,4,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,3,3,0,6,6,6,6,6,6,6,6,6,6,6,6
107,3,2,1,72.186.223.8,1,2,1,10,3,6,37,1,2,4,1,1,,,,,,,7,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,6,2,3,4,1,1,2,4,3,6,3,3,3,3,4,4,4,4,1,1,3,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,3,6,5,4,4,4,4,3,6,6,4,6,4,4
